,Name,Finished,Multiple,Phone pickups,Screen time,Date,Drink,Meditation,Mentality,Satisfaction,Reading,Productivity,Rise time,Run,Social,Tech,Total,Tot To-do,Work done %,Key_words
84,12/15 (W) ***Toughest Realization***,9,3.0,67,300,2020-12-15,0.0,15.0,0.0,0.0,0.0,0.0,200.0,,0.0,0.0,0.5776,10,0.225,0
85,12/16 (W) One more day,11,4.0,101,165,2020-12-16,0.0,15.0,0.0,0.0,0.0,0.0,90.0,,0.0,0.0,0.7549,11,0.25,0
86,12/17 (Th) Just the beginning,11,5.0,99,252,2020-12-17,1.0,30.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.831,11,0.25,0
87,12/19 (St) Elephant took control,8,4.0,64,90,2020-12-19,0.0,15.0,0.0,0.0,45.0,0.0,60.0,,0.0,0.0,0.8217,10,0.2,0
88,12/20 (S) Lazy shit ends now,3,3.0,56,178,2020-12-20,0.0,0.0,0.0,0.0,0.0,0.0,60.0,,0.0,0.0,0.5367,9,0.083,0
89,12/21 (M) ,7,3.0,117,243,2020-12-21,0.0,0.0,0.0,0.0,15.0,0.0,180.0,,0.0,0.0,0.4557,13,0.135,0
90,12/22 (T) Procrastination,9,3.0,113,114,2020-12-22,0.0,15.0,0.0,0.0,50.0,0.0,140.0,,0.0,0.0,0.7174,11,0.205,0
91,12/23 (W) Headache,8,4.0,103,241,2020-12-23,0.0,15.0,0.0,0.0,45.0,0.0,150.0,,0.0,0.0,0.6639,11,0.182,0
92,12/27 (S) FT call with BL,8,4.0,61,229,2020-12-27,1.0,15.0,0.0,0.0,32.0,0.0,105.0,0.0,0.0,0.0,0.6843,12,0.167,0
93,12/28 (M) Start up Idea,7,3.0,95,414,2020-12-28,0.0,15.0,0.0,0.0,35.0,0.0,130.0,0.0,0.0,0.0,0.6171,10,0.175,0
94,12/29 (T),1,2.0,33,915,2020-12-29,1.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.2349,10,0.025,0
95,12/30 (Th) The bottom of the pit,0,1.0,27,729,2020-12-30,0.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,0.0,0.0849,1,0.0,0
96,12/31 (Th) End of 2020,2,3.0,68,444,2020-12-31,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.3609,8,0.063,0
97,1/1 (F),4,2.0,58,600,2021-01-01,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.3749,8,0.125,0
98,1/2 (St) ,8,3.0,46,513,2021-01-02,0.0,10.0,0.0,0.0,43.0,0.0,200.0,0.0,0.0,0.0,0.5006,12,0.167,0
99,1/3 (S) 12 Strong,10,4.0,69,240,2021-01-03,0.0,15.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.6539,12,0.208,0
100,1/4 (M),3,2.0,53,529,2021-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.429,11,0.068,0
101,1/8 (F) Get back on my feet?,6,3.0,88,203,2021-01-08,0.0,15.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.5807,8,0.188,0
102,1/9 (St) I guess not,3,2.0,84,564,2021-01-09,1.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.2807,7,0.107,0
103,1/10 (S) Batman rises,7,3.0,49,288,2021-01-10,0.0,0.0,0.0,0.0,25.0,0.0,120.0,0.0,0.0,0.0,0.646,8,0.219,0
104,1/11 (M) Youtube,4,2.0,75,535,2021-01-11,0.0,0.0,0.0,0.0,0.0,0.0,-30.0,0.0,0.0,0.0,0.4496,10,0.1,0
105,1/12 (T) ***Wants***,9,3.0,74,304,2021-01-12,0.0,15.0,0.0,0.0,49.0,0.0,140.0,0.0,0.0,0.0,0.7324,9,0.25,0
106,1/13 (W) ,3,3.0,55,194,2021-01-13,0.0,0.0,0.0,0.0,0.0,0.0,130.0,0.0,0.0,0.0,0.4771,9,0.083,0
107,1/14 (Th) Hours on Python Web,9,5.0,75,335,2021-01-14,0.0,15.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.815,9,0.25,0
108,1/15 (F) Night with Sammy ,7,3.0,105,302,2021-01-15,1.0,15.0,0.0,0.0,0.0,0.0,130.0,0.0,0.0,0.0,0.6061,8,0.219,0
109,1/18 (M)  Lazy Loop,1,2.0,43,473,2021-01-18,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.2967,6,0.042,0
110,1/19 (T) Long time no cafe,5,3.0,75,495,2021-01-19,0.0,0.0,0.0,0.0,25.0,0.0,150.0,0.0,0.0,0.0,0.4619,9,0.139,0
111,1/20 (W),1,1.0,38,797,2021-01-20,0.0,0.0,0.0,0.0,0.0,0.0,320.0,0.0,0.0,0.0,-0.0865,8,0.031,0
112,1/30 (St) Preparation for War,6,4.0,39,296,2021-01-30,0.0,0.0,0.0,0.0,35.0,0.0,200.0,0.0,0.0,0.0,0.5346,8,0.188,0
113,1/31 (S) End of Winter Break,4,3.0,61,440,2021-01-31,0.0,0.0,0.0,0.0,0.0,0.0,135.0,0.0,0.0,0.0,0.4198,10,0.1,0
114,Probability Exam 1,9,4.0,68,310,2021-02-25,0.0,15.0,0.0,0.0,0.0,0.0,168.0,0.0,0.0,0.0,0.5792,13,0.173,0
115,Beginning of another chapter,8,4.0,58,199,2021-02-01,1.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.5749,12,0.167,0
116,First day of work,13,4.0,55,142,2021-02-02,0.0,15.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.8027,14,0.255,0
117,Early bird gets the worm,8,3.0,61,67,2021-02-03,0.0,0.0,0.0,0.0,0.0,0.0,210.0,0.0,0.0,0.0,0.4703,13,0.154,0
118,Feel alive baby,12,4.0,81,340,2021-02-04,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.0,0.0,0.0,0.5385,14,0.235,0
119,Kart rider,10,3.0,96,318,2021-02-05,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.537,13,0.192,0
120,Weekend,8,3.0,96,473,2021-02-06,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.4147,11,0.182,0
121,YOUR thoughts and YOUR dreams,11,4.0,99,126,2021-02-08,0.0,15.0,0.0,0.0,20.0,0.0,120.0,0.0,0.0,0.0,0.759,12,0.229,0
122,***10 ways to increase your odds of winning***,12,5.0,110,220,2021-02-09,0.0,15.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.798,13,0.231,0
123,Keep it up,14,5.0,88,127,2021-02-10,0.0,15.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.8067,15,0.256,0
124,An exception,11,4.0,99,159,2021-02-11,1.0,15.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.7057,13,0.212,0
125,Day after alcohol..,2,3.0,90,158,2021-02-12,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.43,14,0.039,0
126,***Movie: Revolutionary Road***,11,4.0,117,193,2021-02-13,0.0,15.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.729,13,0.212,0
127,Sunday,11,3.0,72,161,2021-02-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.66,15,0.201,0
128,Solved THE problem!,9,5.0,116,260,2021-02-15,0.0,10.0,0.0,0.0,13.0,0.0,240.0,0.0,0.0,0.0,0.4979,11,0.205,0
129,100%,15,5.0,103,144,2021-02-16,0.0,13.0,0.0,0.0,28.0,0.0,53.0,0.0,0.0,0.0,0.8499,15,0.275,0
130,Sleep Adjustment Period,15,4.0,134,175,2021-02-17,,15.0,0.0,0.0,42.0,0.0,60.0,0.0,0.0,0.0,0.7777,18,0.229,0
131,More to go,17,4.0,95,109,2021-02-18,0.0,0.0,0.0,0.0,0.0,0.0,152.0,0.0,0.0,0.0,0.6005,21,0.222,0
132,Grind - ing,10,5.0,91,105,2021-02-19,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.5537,14,0.196,0
133,Good work ,15,4.0,97,132,2021-02-20,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.788,17,0.242,0
134,***Leave the tank Empty***,10,5.0,80,169,2021-02-21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.629,15,0.183,0
135,Break,6,2.0,91,442,2021-02-22,0.0,0.0,0.0,0.0,0.0,0.0,168.0,0.0,0.0,0.0,0.3732,12,0.125,0
136,Get your head out of your ass,7,2.0,70,383,2021-02-23,0.0,10.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.4507,13,0.135,0
137,No Self-Control ,12,3.0,109,445,2021-02-24,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.5339,16,0.206,0
138,Say fuck it before you kick the bucket,9,3.0,52,265,2021-03-31,0.0,0.0,0.0,0.0,63.0,0.0,200.0,0.0,0.0,0.0,0.5386,12,0.188,0
139,***It's not your fault***,10,4.0,59,310,2021-03-01,0.0,0.0,0.0,0.0,0.0,0.0,130.0,0.0,0.0,0.0,0.5661,13,0.192,0
140,Long time no programming,8,4.0,77,351,2021-03-02,0.0,0.0,0.0,0.0,0.0,0.0,225.0,0.0,0.0,0.0,0.3845,12,0.167,0
141,Our Social Dilemma,7,3.0,83,319,2021-03-03,0.0,0.0,0.0,0.0,0.0,0.0,165.0,0.0,0.0,0.0,0.4372,13,0.135,0
142,The devil wears the Prada,9,4.0,91,64,2021-03-04,0.0,0.0,0.0,0.0,0.0,0.0,210.0,0.0,0.0,0.0,0.4983,12,0.188,0
143,Drink with JSA people,4,2.0,85,263,2021-03-05,1.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.3307,13,0.077,0
144,6학년 3반,8,3.0,63,221,2021-03-07,1.0,10.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.5519,12,0.167,0
145,What do I want to do in life?,8,3.0,67,146,2021-03-08,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.6163,12,0.167,0
146,Vector Analysis can go f*** itself,6,3.0,48,102,2021-03-09,0.0,0.0,0.0,0.0,0.0,0.0,130.0,0.0,0.0,0.0,0.5391,13,0.115,0
147,Grindsssssss,7,5.0,48,89,2021-03-10,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.6446,12,0.146,0
148,Vector Analysis 0 Andy Lee 1,9,5.0,52,74,2021-03-11,0.0,15.0,0.0,0.0,0.0,0.0,70.0,0.73,0.0,0.0,0.7992,11,0.205,0
149,Walking on the beach at 11:00 pm,12,5.0,71,146,2021-03-12,1.0,15.0,0.0,0.0,46.0,0.0,60.0,0.74,0.0,0.0,0.8254,13,0.231,0
150,Efficient Frontier & Portfolio Optimization,12,4.0,63,103,2021-03-13,0.0,15.0,0.0,0.0,40.0,0.0,120.0,0.0,0.0,0.0,0.777,16,0.206,0
151,Go to Sleep,13,4.0,88,106,2021-03-14,0.0,15.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0,0.0,0.6956,15,0.238,0
152,Control Your Mind,12,5.0,69,107,2021-03-15,0.0,15.0,0.0,0.0,31.0,0.0,96.0,0.0,0.0,0.0,0.8435,12,0.25,0
153,Keep it up ,13,4.0,78,120,2021-03-16,0.0,15.0,0.0,0.0,64.0,0.0,-4.0,0.0,0.0,0.0,0.8771,13,0.25,0
154,Headache & Slip,12,3.0,58,168,2021-03-17,0.0,15.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.831,14,0.235,0
155,Unsettled Heart,8,3.0,83,120,2021-03-18,0.0,0.0,0.0,0.0,63.0,0.0,114.0,0.0,0.0,0.0,0.6585,11,0.182,0
156,The Decision,14,5.0,99,91,2021-03-19,0.0,15.0,0.0,0.0,25.0,0.0,95.0,0.0,0.0,0.0,0.8323,15,0.256,0
157,Schindler's List,13,5.0,55,139,2021-03-20,0.0,15.0,0.0,0.0,0.0,0.0,105.0,0.0,0.0,0.0,0.7943,14,0.255,0
158,Delivery_python,7,4.0,56,193,2021-03-21,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.0,0.0,0.0,0.5045,12,0.146,0
159,No daylight Alcohol from now on,11,3.0,55,106,2021-03-22,0.0,15.0,0.0,0.0,47.0,0.0,114.0,0.0,0.0,0.0,0.8015,12,0.229,0
160,Break,7,3.0,63,275,2021-03-23,0.0,0.0,0.0,0.0,32.0,0.0,135.0,0.0,0.0,0.0,0.5698,11,0.159,0
161,F Midterms,14,4.0,67,140,2021-03-24,0.0,15.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.7764,16,0.24,0
162,First programming in real life(Post Office),10,5.0,53,97,2021-03-25,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.6807,15,0.183,0
163,Check point,8,3.0,55,246,2021-03-26,0.0,0.0,0.0,0.0,0.0,0.0,206.0,0.0,0.0,0.0,0.4469,12,0.167,0
164,Moneyball: If you don't believe in yourself no one will,9,4.0,44,224,2021-03-27,0.0,0.0,0.0,0.0,39.0,0.0,210.0,0.0,0.0,0.0,0.5223,13,0.173,0
165,Break,7,3.0,83,364,2021-03-28,0.0,0.0,0.0,0.0,33.0,0.0,210.0,0.0,0.0,0.0,0.4303,11,0.159,0
166,Back to Work,11,5.0,91,159,2021-03-29,0.0,15.0,0.0,0.0,46.0,0.0,90.0,0.0,0.0,0.0,0.8289,11,0.25,0
