Entity,Year,Unsafe water source,Unsafe sanitation,No access to handwashing facility,Household air pollution from solid fuels,Non-exclusive breastfeeding,Discontinued breastfeeding,Child wasting,Child stunting,Low birth weight for gestation,Secondhand smoke,Alcohol use,Drug use,Diet low in fruits,Diet low in vegetables,Unsafe sex,Low physical activity,High fasting plasma glucose,High total cholesterol,High body-mass index,High systolic blood pressure,Smoking,Iron deficiency,Vitamin A deficiency,Low bone mineral density,Air pollution,Outdoor air pollution,Diet high in sodium,Diet low in whole grains,Diet low in nuts and seeds
Afghanistan,2002,9764.768756,7522.617843,7055.32209,26679.50833,3852.417277,207.9003929,30516.31945,15023.02795,18251.12966,5511.82396,182.0611841,448.4934929,10891.6626,9475.422764,567.8561202,4883.787517,25410.15932,,9288.213305,32771.75169,7566.578463,1275.17357,14609.06086,401.0235301,32052.89708,5580.75,2929.456819,13770.83163,8901.79226
Afghanistan,2003,11510.49271,8853.838865,8214.45999,28325.88681,4184.981616,254.0240883,30053.87098,11925.069,20533.49489,5915.145053,190.6697089,481.5912749,10910.23254,9436.068405,581.6988546,4877.97735,25481.38032,,9834.465177,32708.03903,7611.786762,1347.972777,9718.299671,395.1909086,34229.4766,6111.07,2935.115511,13814.10488,8878.598378
Afghanistan,2004,11656.61466,8950.64281,8331.270817,28511.34349,4067.087139,262.0007274,29568.25388,10771.52273,19586.83978,6001.256612,194.6481855,506.4116816,10895.43464,9376.038226,598.0822509,4863.541491,25493.2138,,10433.88394,32570.64201,7655.32688,1341.175495,8050.536781,392.7996462,34462.34143,6159.58,2955.081728,13808.04255,8832.863909
Afghanistan,2005,10973.73633,8410.948806,7928.463722,27621.50338,3761.322094,245.1406934,27799.71916,10077.02972,19645.29504,5942.142022,202.2324178,534.7369466,10860.10617,9306.474279,612.2664421,4836.247378,25417.50423,20922.6567,11027.52717,32313.17028,7680.858495,1386.847166,7456.091311,396.7027688,33603.46735,6189.71,2958.574389,13785.14078,8782.006155
Afghanistan,2006,10040.77296,7673.530946,7393.873325,26765.72678,3549.86909,216.9452038,26233.63565,9646.267726,19630.86897,5874.24058,222.5005728,553.6043355,10798.26241,9229.573053,619.6445523,4815.411799,25342.63643,21478.01487,11762.18173,32145.53359,7729.408854,1342.583874,7323.419562,391.2581007,32759.43955,6202.75,2964.409777,13729.95319,8718.309024
Afghanistan,2007,8884.667717,6776.148232,6631.322021,25149.20508,3219.282623,182.5240794,24012.81334,9006.125617,18017.71132,5714.436681,272.6261436,573.7575811,10695.00552,9123.343439,633.2471902,4786.708845,25230.73804,,12710.1745,31928.01277,7781.058467,1334.176719,6972.441063,392.3373666,31145.72826,6204.82,2971.5817,13631.42558,8625.936713
Afghanistan,2008,7703.609482,5857.353606,5854.381952,23781.76535,2983.864501,146.7268036,21793.39406,8738.754599,17925.45863,5562.602944,340.0219362,603.0887509,10673.85728,9097.010585,649.476936,4781.096587,25257.94511,,13814.84869,31881.8625,7875.932203,1325.675841,7329.67521,395.2948147,29696.64329,6123.82,2995.320943,13640.89261,8597.317493
Afghanistan,2009,6842.30998,5177.564915,5279.978576,22528.50735,2869.020279,121.4030306,20333.93481,8566.991888,17695.05376,5432.257801,402.5154197,625.3396312,10579.23838,9008.817782,658.0947384,4754.035388,25167.74327,,14725.81706,31614.44512,7929.28805,1285.236226,7708.53511,399.2378361,28432.97534,6112.64,3019.912793,13579.13506,8507.719886
Afghanistan,2010,6436.211217,4843.771106,4992.484763,21807.39033,2796.50424,109.114436,18946.89467,7632.421479,17102.56811,5369.02512,453.8845448,650.4117174,10497.32057,8943.517963,672.0673828,4719.902798,25077.25086,22978.88187,15351.37088,31301.98353,7945.426626,1232.393129,6700.00759,406.253719,27754.10987,6154.12,3049.005496,13534.73962,8438.243774
Afghanistan,2011,6023.629124,4507.041694,4725.821542,20955.6958,2734.032895,100.0969188,17867.74113,7198.097615,17243.037,5321.617852,481.4869253,677.0044238,10506.04039,8960.346938,684.8642695,4726.158713,25227.55032,,15899.05508,31297.39118,8046.937583,1202.670796,6435.464674,409.0347251,27174.74431,6425.95,3097.7103,13614.03365,8452.451444
Afghanistan,2012,5613.053154,4170.82802,4449.080788,20260.86927,2642.066131,92.58664905,16980.38011,6948.652169,17014.6839,5263.410946,511.8816315,702.8728182,10513.74074,8974.646337,698.6037209,4732.985469,25391.27858,,16439.94172,31361.54528,8156.920612,1161.643271,6431.888593,413.903423,26529.23052,6475.42,3152.690488,13698.7349,8454.321712
Afghanistan,2013,5649.755736,4166.686083,4474.557454,20236.44278,2644.28852,95.12183917,16308.28217,6032.637077,17068.9472,5330.222402,540.6922979,735.2311899,10583.63171,9043.68161,718.0294251,4760.525271,25696.02675,,17033.61628,31572.44542,8309.869419,1134.042444,5210.263059,421.3477449,26468.19931,6438.87,3214.655896,13860.62741,8507.31969
Afghanistan,2014,5533.135738,4048.986437,4391.708269,20044.81634,2620.398334,94.46708677,15825.36225,5705.569147,17395.48932,5353.132167,570.6665158,765.8790671,10700.49833,9131.222067,734.8811086,4794.894802,26059.74211,,17616.69585,31880.46954,8488.531529,1104.609311,4940.224678,425.9647798,26251.1446,6414.25,3272.323115,14065.39829,8583.175662
Afghanistan,2015,5300.42444,3843.622727,4231.83572,19462.37745,2541.753356,91.68913375,15344.88966,5617.86218,17281.75161,5345.589986,598.135706,792.9550743,10786.4849,9221.649148,752.4508014,4827.338587,26402.06161,,18117.33558,32163.22748,8683.697759,1065.783979,5033.485922,434.8280459,26033.71841,6780.26,3316.445516,14242.30535,8687.274664
Afghanistan,2016,5158.400864,3723.506721,4126.336468,19427.55823,2438.076606,90.90417273,14695.04671,5127.232624,17119.40608,5379.649333,620.3124814,825.549987,10958.65002,9368.377979,776.1254549,4885.459694,26936.18207,26789.1737,18677.75989,32646.00646,8925.85525,1038.449923,4497.923792,444.732727,25780.21829,6562.98,3379.034511,14511.81075,8836.670338
Afghanistan,2017,5256.649276,3783.111117,4156.209013,19397.37821,2422.369175,94.11813479,14575.26921,4990.036917,17453.44633,5459.172507,631.7738503,862.301904,11225.15396,9605.295515,805.9455107,4977.835021,27534.68392,,19254.95751,33345.02347,9241.250845,1035.21142,4442.334736,447.2064906,26054.19572,6872.06,3457.083571,14884.9584,9074.388004
Albania,1990,50.12576656,30.95005744,42.27687871,1337.654648,160.2753379,1.895415191,1022.820898,339.26693,636.1026287,707.8604007,454.2170912,53.41812691,996.6545142,476.8859668,42.70943242,304.7782434,1178.611796,1564.587112,1189.815914,3897.33467,2460.273254,6.050930992,278.467052,26.99420343,1938.678869,626.95,1816.422489,1232.756618,673.5080941
Albania,1991,51.04275046,31.82805143,44.27507351,1392.734624,160.7269732,1.948038141,1006.071416,302.1358538,621.6676297,741.1124253,496.98117,58.20636347,1052.881129,488.9115225,43.72296911,318.8112064,1244.389555,,1263.749724,4091.946484,2592.060349,5.43804154,181.8788799,29.5776083,2021.316572,654.88,1870.857333,1302.835657,708.9177664
Albania,1992,48.82450206,30.76489637,43.19028148,1361.996449,155.0450195,1.82597596,980.3009743,294.7328441,609.2910193,723.8813611,516.220719,59.73207967,1040.591868,471.0619744,42.79547479,313.2283723,1235.691654,,1264.843768,4032.251083,2549.67171,4.589590484,175.7698204,28.14796908,1971.115037,634.39,1806.213616,1287.072351,698.3050512
Albania,1993,43.78624581,27.7309745,40.68314075,1304.792371,146.1267904,1.593157944,933.0093359,279.8850087,592.6278753,696.0747971,530.69561,62.66377228,1010.353052,443.5563239,41.22878248,305.2263173,1224.067098,,1246.832154,3932.20021,2480.304973,3.898662533,164.9687341,27.40357694,1890.142195,609.17,1660.755772,1253.622846,678.4703017
Albania,1994,53.14651315,33.65350157,38.38592939,1215.52247,138.6069531,1.840297216,866.9100029,258.0085616,572.5703087,657.1539532,537.4816024,67.13927819,972.8798877,410.1779376,40.93977718,296.2116679,1205.693688,,1222.491271,3814.499915,2377.562989,3.237905191,155.3189621,27.01677303,1774.624691,581.23,1513.741074,1214.643072,654.3885038
Albania,1995,26.10835197,16.42829199,31.49598054,1182.102319,116.4343389,0.868247998,741.4951084,219.858907,546.7799663,640.0474349,581.0166718,70.99012915,1004.595869,404.6371674,42.851955,308.7877188,1275.343774,1662.695808,1286.715533,3980.510536,2442.308068,2.807950916,126.1503252,27.70207223,1740.547586,580.21,1499.888318,1271.456002,679.184748
Albania,1996,20.99524329,13.06012973,27.24351758,1174.91985,101.8158453,0.674460297,635.8547031,185.9671232,517.6400565,638.1568744,645.9167383,74.70707704,1066.592314,406.537577,45.76794016,333.4964873,1405.642295,,1404.031489,4304.398195,2595.63016,2.509972063,107.9039451,28.99055857,1754.374294,601.7,1540.190855,1377.057266,727.6813844
Albania,1997,17.33699472,10.65721622,23.41229398,1136.569996,87.03464751,0.534998823,535.3485974,153.416642,481.0779711,623.3139454,717.7653532,78.38935879,1101.127537,402.6896527,47.92852986,346.7170032,1514.181191,,1497.26766,4504.875045,2704.63705,2.227867602,90.7252943,29.93607843,1727.981255,613.38,1524.307202,1444.269824,756.2521699
Albania,1998,14.38258511,8.654031112,19.89842014,1085.87854,72.70219448,0.422682047,440.1175646,123.1276087,441.9153815,603.7558426,797.7076096,87.24823723,1113.833212,390.5746509,49.22397062,354.9358762,1607.178209,,1575.198234,4640.325335,2784.122253,2.175972643,73.33635569,30.96299019,1684.404653,619.67,1482.12025,1491.271493,776.9848114
Albania,1999,13.00488193,7.549785754,17.37701958,1041.806268,66.36765381,0.373947914,378.3711288,102.8093329,486.9375141,594.2638393,846.7950817,89.37915044,1123.635884,371.2455859,50.99718733,365.9199847,1696.513198,,1642.042881,4765.77162,2824.513203,1.901685583,62.03024727,31.26506077,1651.240183,629.68,1424.671827,1526.866006,794.5220284
Albania,2000,11.04585179,6.239348777,14.52824983,994.4790733,53.6012134,0.318404136,316.7716746,84.8716257,352.5716906,571.6098384,864.9126283,90.45705982,1105.976129,349.8618857,50.7741744,378.2453712,1765.825448,2042.071103,1687.189409,4874.199069,2845.78146,1.734198778,51.5988777,31.27504448,1601.176755,626.14,1379.661243,1557.432092,814.5010302
Albania,2001,9.12274643,4.893006129,11.70822241,938.4636297,38.63436025,0.24569916,224.6609055,59.35310549,312.1388784,545.5156327,899.8726851,95.91754695,1080.0907,326.8318692,51.03614495,389.6788474,1824.030226,,1725.57029,4978.590098,2870.050531,1.521044021,35.77067678,32.53264679,1546.512344,626.39,1335.490315,1584.162988,831.4697783
Albania,2002,7.837641023,3.982495966,10.10835212,921.31518,31.39974804,0.199389391,176.7143501,45.65480452,280.0504789,541.2473971,959.5573236,99.8563425,1084.03692,316.7623104,52.69696459,413.4628942,1936.312626,,1809.276208,5236.569207,2971.644895,1.446474484,28.03793313,33.54061454,1553.416625,649.88,1337.471245,1661.439104,875.6199137
Albania,2003,6.905142362,3.318331288,8.881071299,918.2659699,25.72208959,0.167277732,140.5933922,35.51442327,253.8136763,542.0109882,1025.535364,102.2875202,1089.827003,308.5455464,54.16662537,440.3878196,2055.681559,,1905.648472,5525.12688,3081.14926,1.352082633,22.1457349,34.33482033,1576.379509,675.57,1348.388066,1749.47102,925.8509082
Albania,2004,6.346128379,2.904865865,7.802275001,896.6381554,21.3051177,0.148912524,112.3987149,27.72459456,229.7729389,537.0967002,1082.407296,103.109659,1082.915358,294.8616097,55.85658006,460.6316523,2143.957778,,1974.932361,5733.766823,3157.682348,1.301298711,17.62457874,35.42146754,1577.259504,697.63,1380.062412,1809.481572,960.6560183
Albania,2005,5.94230829,2.672627021,6.888943721,866.8161777,18.18214175,0.135662302,93.64067291,22.48062226,211.0202254,526.469096,1107.917389,97.99083806,1044.013461,274.8538338,57.86558699,469.6312264,2175.751296,2645.148823,2003.992105,5806.047441,3172.708046,1.321439299,14.46986414,32.87300963,1552.906152,702.31,1382.47461,1829.947574,975.0814909
Albania,2006,5.487749398,2.48343095,6.167794181,822.9791223,15.51788871,0.117290985,79.72736042,18.74859073,193.851506,515.4959629,1133.202645,98.60105227,986.7141521,252.5533889,58.86025001,475.2706802,2179.970862,2706.666511,2016.686021,5824.155185,3175.982353,1.244338455,12.08552117,33.11232137,1517.519881,710.02,1374.888051,1824.978408,975.6523459
Albania,2007,5.238184945,2.400704404,5.502105149,758.2139793,13.13990107,0.106846578,68.06961472,15.66960636,177.083985,492.412679,1143.228294,102.317374,898.4321708,220.1323798,57.88953317,467.4707644,2115.958616,,1981.930409,5687.083877,3122.432838,1.099223286,10.12416213,34.25294226,1446.142707,702.47,1332.335987,1768.62992,947.4292312
Albania,2008,5.103618907,2.375428033,5.180202545,738.8803059,11.87589863,0.103246704,62.59380482,14.06508758,166.9293482,497.1036612,1197.083505,104.3715436,862.0534422,199.791139,58.90957403,485.1806599,2153.705678,,2047.609262,5838.923348,3209.823755,1.027224882,9.149744036,37.38382628,1454.805857,730.21,1358.443602,1815.016634,971.67672
Albania,2009,4.961786538,2.314067051,4.835070367,718.1184455,10.80876906,0.101607806,56.65092845,12.50975238,154.30437,493.5838913,1218.841525,102.3005769,835.8167509,179.9905148,57.89356704,494.8337717,2168.209057,,2070.295488,5881.743467,3253.347083,0.921508739,8.218074696,34.69238906,1446.467344,742.45,1360.733283,1828.521501,975.5125933
Albania,2010,4.802752602,2.241875173,4.648930526,707.476549,10.1452561,0.097870502,52.73128951,11.46802198,144.9486112,499.1485678,1253.315664,107.2720532,798.9982218,165.0374472,56.94624576,512.4480328,2230.814191,2884.660531,2121.231166,6003.591511,3335.402402,0.861008166,7.587295529,37.77825356,1458.566692,765.42,1382.434742,1862.565854,991.3605899
Albania,2011,4.699012638,2.159755339,4.583173056,696.0183715,9.631935107,0.093232923,49.74336379,10.66405072,138.7293039,509.7650304,1293.954413,112.0405041,776.6940602,153.1802132,56.98111433,527.7422041,2323.197467,,2192.53217,6168.175744,3469.749551,0.837747577,7.102849444,37.42242713,1515.251642,834.41,1419.174283,1910.513458,1010.157666
Albania,2012,4.573722492,2.05920391,4.540286589,713.6091174,9.310917647,0.088262675,47.82446034,10.14193754,131.8565535,521.5344969,1332.879621,116.4862822,757.2053495,144.5958283,57.08923011,543.9869994,2416.43353,,2261.577455,6334.235395,3582.079823,0.80707884,6.751196629,39.60235779,1514.209704,816.01,1454.093466,1956.999519,1028.026275
Albania,2013,4.464492804,1.956670949,4.529588562,722.947112,9.064780827,0.083964171,46.24103672,9.703868386,125.8853591,536.4869656,1372.969274,121.6164233,749.548061,140.6707727,57.33989286,563.4180352,2527.107056,,2343.163799,6533.63618,3713.108075,0.779772629,6.464515767,39.52683429,1544.039316,837.06,1496.700877,2015.316025,1052.6694
Albania,2014,4.321290792,1.84653873,4.532397766,734.9934249,8.863860286,0.079878563,44.82094791,9.323137478,121.0577137,553.1989523,1419.653773,127.1081261,783.6614912,140.5198314,57.48291682,584.2971291,2653.186574,,2434.721445,6755.309234,3869.697735,0.748332921,6.223166072,40.73298873,1570.049046,851.57,1546.179911,2080.626378,1080.159547
Albania,2015,4.195118883,1.742279025,4.510946673,726.2740553,8.588925628,0.075682073,43.357227,8.950554872,114.5691858,565.8658281,1444.999122,131.8445426,780.4678678,140.1475662,57.68434082,600.6561554,2758.749441,,2502.383966,6912.155602,3969.522821,0.717916427,5.973833254,41.61093863,1610.578552,901.5,1577.19397,2123.608609,1098.261399
Albania,2016,4.080630784,1.641918988,4.496203423,737.1626712,8.381190326,0.071918304,41.89728747,8.596328657,111.1860816,578.6519357,1467.884547,136.8316471,780.1221342,140.6833964,57.79015963,616.1155998,2870.719453,3030.497571,2569.111575,7077.207174,4066.509719,0.693820077,5.742125959,42.45729935,1611.353458,891.58,1622.403364,2163.412998,1114.018464
Albania,2017,4.091663843,1.597906849,4.501301236,736.8814547,8.17311858,0.071829069,40.61320894,8.280518644,106.8532782,592.1159196,1485.350647,141.5175619,784.6990017,142.3951046,57.75968084,632.5092922,2992.681104,,2635.437768,7246.026904,4161.156448,0.666506861,5.559881962,43.33951352,1638.57099,919.59,1668.336331,2206.716542,1130.544001
Algeria,1990,955.8961213,697.672807,553.3619949,489.2335353,899.6704118,60.9246177,4614.006811,1385.112283,11285.79711,3847.623566,433.579205,512.9994618,6681.106843,5239.961803,484.581579,3978.240183,11534.14122,10461.51408,11184.65786,22471.50271,12123.99939,325.3448055,1186.063381,312.0619502,8231.632683,7801.65,3073.59634,9506.920702,6937.659742
Algeria,1991,866.6870858,621.1459027,503.1436237,422.9674369,807.9396718,56.18196278,4233.089665,1241.367596,10929.54169,3817.362174,433.7524968,550.4959787,6792.623495,5290.273316,493.1605298,4074.257477,11982.3581,,11599.88753,23065.3345,12357.28142,320.6366358,1057.944728,318.5071826,8343.277229,7982.04,3133.061164,9670.237814,7065.60696
Algeria,1992,813.2034441,570.0143928,467.6565143,372.326639,737.7316077,53.57547704,3945.904276,1128.321457,10640.56562,3807.016964,437.7473871,591.3282066,6919.261068,5359.385141,500.0359816,4187.096203,12459.20945,,12039.39662,23737.63937,12616.45441,316.8658859,962.6693964,327.9037541,8449.433439,8141.34,3203.051268,9869.976957,7219.738475
Algeria,1993,797.6363263,540.1484372,453.1626737,373.3768513,682.7471862,52.22097814,3721.144123,1032.147068,10398.06954,3817.974567,445.4061269,636.5207214,7073.431854,5454.298192,509.7586362,4314.432635,12967.42886,,12525.55368,24512.25818,12892.59573,315.5782611,882.1695785,336.4996226,8571.326594,8264.75,3280.170798,10107.69685,7399.726781
Algeria,1994,804.5647195,526.650326,447.4879549,378.0654634,640.2325427,52.25540661,3553.183448,951.4072167,10185.55668,3820.875873,464.7761732,693.0348812,7187.776785,5520.068873,519.8018101,4401.67458,13339.3108,,12955.86856,25088.35474,13061.86171,321.8577969,819.5806011,345.5711418,8628.194734,8318.91,3334.887627,10288.13555,7535.782379
Algeria,1995,813.0361111,515.0728747,440.9180751,384.4796103,602.7393972,52.62183404,3390.384777,870.6890312,9931.675312,3853.173622,475.5717263,743.8954761,7347.205747,5618.857618,534.4073107,4541.499638,13819.36481,11440.80434,13478.31353,25921.87163,13381.91878,321.3244492,752.9663755,356.3538653,8718.434946,8405.16,3442.400401,10559.00476,7735.726033
Algeria,1996,796.6835197,486.9264956,427.5215905,374.2692857,567.7867115,51.00302996,3206.218141,794.1258339,9687.83467,3882.770913,497.5309684,799.7316307,7468.916461,5690.890146,540.784699,4676.905165,14267.02637,,13987.14037,26735.66947,13635.21949,320.3024212,686.6067804,367.6701139,8946.294056,8646.92,3545.273161,10813.67617,7922.235259
Algeria,1997,820.7596281,482.312828,430.2472395,363.9050009,550.0556084,52.34074662,2922.474714,615.6315956,9486.810933,3919.435066,542.7068848,860.2607438,7564.353776,5742.416389,548.9645984,4802.028218,14671.01715,,14476.78839,27500.90582,13856.4882,319.0326166,459.5028672,381.0265974,9151.671941,8865.95,3635.159909,11044.72051,8087.858812
Algeria,1998,819.1146047,463.3566411,423.6426117,355.1267379,532.3063848,51.73725919,2807.594018,565.1861366,9329.278905,3930.383523,583.8488634,918.0242384,7604.573213,5752.821489,555.7984626,4912.6465,15015.9882,,14884.89186,28142.03563,14038.05882,313.8446439,424.0460913,392.2042774,9275.991686,9001.83,3710.044712,11220.89136,8214.243081
Algeria,1999,811.5667139,444.0867686,418.3594412,358.2104256,515.0449312,50.61964973,2705.324211,521.9376458,9196.096694,4019.604786,629.3667142,989.2804164,7804.432441,5833.47271,579.4347684,5106.593348,15632.20419,,15635.74796,29287.9632,14328.24095,321.3724395,393.749099,407.4618802,9509.729116,9236.27,3859.966592,11577.75399,8441.052703
Algeria,2000,788.4509648,417.0770433,407.311718,336.4905226,491.3531623,48.61203498,2588.323435,486.6918349,9065.388191,4078.077289,673.0292394,1053.609884,7854.981998,5820.991091,602.0492599,5272.376778,16165.12084,12647.90308,16283.20631,30201.95393,14541.42292,324.0209057,375.040483,420.0474226,9607.570314,9358.75,3973.099229,11821.46664,8584.057896
Algeria,2001,706.1272332,361.5795139,378.3286922,303.7606495,443.2188995,42.12690438,2313.021656,427.8297611,8788.766909,4118.383443,742.8985026,1116.431049,7855.593878,5777.97712,629.9075288,5414.552478,16798.25223,,16909.35914,30962.63837,14707.59578,314.9285041,334.5039764,430.9517403,9812.282437,9600.68,4063.243639,12023.72518,8696.245409
Algeria,2002,630.2110677,312.3681105,351.8088483,272.9984263,398.9960886,36.42706178,2088.277388,382.2731781,8557.219038,4160.412695,815.5479147,1178.408403,7828.987495,5711.092674,659.0730861,5546.752497,17572.10411,,17551.95877,31435.23987,14860.05669,299.6166301,313.7589893,448.2497338,9952.867137,9775.57,4138.262314,12209.20961,8799.036994
Algeria,2003,560.354261,267.8081367,326.8555805,252.1892503,362.0484313,31.72082275,1887.11554,333.360393,8332.035404,4233.426784,921.9300634,1220.883216,7822.7284,5654.023489,690.3779018,5741.321581,18642.33797,,18318.10246,32212.1229,15105.33641,281.7923827,281.5799327,466.8979499,10122.34996,9969.38,4254.065436,12479.36807,8965.443301
Algeria,2004,514.2333506,236.7359326,310.6874937,232.2867993,337.4101004,28.71286825,1676.322296,263.7717292,8157.771928,4278.749301,957.769483,1277.637158,7836.505259,5533.621137,726.4123096,5850.472305,19511.61719,,18937.93914,32475.57164,15212.88307,273.136995,197.9828724,472.5448975,10175.7256,10044.75,4332.948149,12618.87537,9027.482309
Algeria,2005,467.9047222,208.9834569,293.6820074,218.2432634,313.9165989,25.76357882,1548.44032,233.2812157,7995.21846,4320.038853,993.8341828,1333.8132,7720.410415,5365.678155,763.519861,5949.541109,20322.89073,13289.24661,19532.11433,32652.14304,15319.52721,262.0655648,172.8797315,480.5807577,10177.32857,10061.83,4391.08285,12747.31814,9086.172557
Algeria,2006,426.6158994,184.1516736,279.1810572,191.6418131,291.7918235,23.20429741,1443.153242,210.9688748,7868.341107,4368.352912,994.5730559,1387.587125,7600.818059,5199.168991,799.3486282,6056.672079,21192.29135,13520.22787,20172.32206,33368.05321,15430.10206,251.101453,155.6137519,490.9740179,10371.01252,10285.63,4468.368909,12892.01534,9159.912033
Algeria,2007,387.8975611,162.2138905,265.2755382,170.4829578,269.838185,20.88934954,1346.858716,192.3755712,7803.243382,4425.225467,975.7486778,1439.151737,7492.369685,5047.159684,816.5318477,6176.105212,22185.45224,,20854.74782,34145.94365,15562.58404,237.7605387,141.5258317,498.1143429,10521.71877,10460.06,4546.558805,13059.12841,9251.079554
Algeria,2008,352.0672871,142.9411976,250.1548182,152.1271475,244.2730776,18.72376136,1231.588601,172.7042748,7684.150634,4477.841446,947.7205063,1490.114993,7380.682796,4896.058274,839.7444059,6297.06465,23209.32683,,21535.12358,34885.65068,15696.50785,225.2071437,129.0400328,508.5591689,10615.82542,10574.32,4617.546747,13227.67269,9350.428704
Algeria,2009,320.34633,125.5845144,237.8341538,139.4502865,221.5610887,16.69528739,1137.716883,160.6776097,7508.909778,4546.992195,923.2758482,1544.475197,7329.318788,4795.286718,873.15228,6442.149335,24284.11495,,22271.21643,35652.73747,15900.63121,213.2731794,127.891465,520.1287462,10709.92234,10682.78,4693.476729,13434.38988,9490.111001
